,0
1854,18138101
1855,10190102
1856,39465101
1857,16133101
1858,14526101
1859,14308101
1860,30856101
1861,37925102
1862,13524101
1863,16341101
1864,16303103
1865,36957101
1866,11233102
1867,11376101
1868,36233102
1869,13726102
1870,11202102
1871,11936104
1872,11450101
1873,32711101
1874,35700101
1875,16639104
1876,18457101
1877,31131102
1878,10237102
1879,35297101
1880,14311101
1881,14333101
1882,35066102
1883,15289104
1884,31943101
1885,35885102
1886,13726101
1887,10923103
1888,14584102
1889,33544102
1890,39425101
1891,37417101
1892,11863102
1893,34008102
1894,33021102
1895,37032102
1896,17434101
1897,14897101
1898,11507101
1899,39508101
1900,31533102
1901,30406101
1902,36138102
1903,31399101
1904,38131102
1905,17823101
1906,32628104
1907,31240101
1908,10483101
1909,10695101
1910,31836102
1911,10127101
1912,14573101
1913,34151102
1914,37243101
1915,14539102
1916,10154101
1917,11392102
1918,37233101
1919,12794101
1920,32899101
1921,36049102
1922,16135102
1923,31099102
1924,16821101
1925,13601102
1926,37652102
1927,37012101
1928,18224102
1929,34691101
1930,10253102
1931,36134102
1932,18255102
1933,13945101
1934,12571107
1935,36625102
1936,10632102
1937,34299105
1938,17255101
1939,13372102
1940,15213102
1941,37264101
1942,17737102
1943,11798102
1944,34589102
1945,33843101
1946,15923101
1947,10875101
1948,34715101
1949,35991102
1950,34091101
1951,18088102
1952,11960101
1953,38241101
1954,39481101
1955,38259102
1956,16212101
1957,10398101
1958,12359101
1959,18572101
1960,32762102
1961,12086102
1962,34387101
1963,18429101
1964,34370103
1965,35140102
1966,36000101
1967,33927101
1968,14651103
1969,36261101
1970,11563101
1971,38968301
1972,18508101
1973,33187101
1974,14420102
1975,10811102
1976,17596101
1977,11306101
1978,34525102
1979,30615201
1980,35403101
1981,13438101
1982,18545102
1983,10208101
1984,14029101
1985,30100101
1986,14809101
1987,16007103
1988,17576101
1989,33671101
1990,35326102
1991,12655101
1992,15942101
1993,11931102
1994,31833101
1995,37158103
1996,16082101
1997,38166101
1998,37226102
1999,13329102
